timestamp,layer,percentile,stat,value
1765262338.4728434,25,0.9,p9000,0.01726531982421875
1765262338.4728434,25,0.95,p9500,0.031687418619791664
1765262338.4728434,25,0.99,p9900,0.10743204752604167
1765262338.4728434,25,0.999,p9990,0.33104197184244794
1765262338.4728434,25,0.9999,p9999,0.8623148600260416
1765262338.4728434,25,,max,12.822916666666666
1765262338.4728434,26,0.9,p9000,0.019765218098958332
1765262338.4728434,26,0.95,p9500,0.0365447998046875
1765262338.4728434,26,0.99,p9900,0.12290445963541667
1765262338.4728434,26,0.999,p9990,0.35464731852213544
1765262338.4728434,26,0.9999,p9999,0.8260752360026041
1765262338.4728434,26,,max,11.598958333333334
1765262338.4728434,27,0.9,p9000,0.022252400716145832
1765262338.4728434,27,0.95,p9500,0.042584737141927086
1765262338.4728434,27,0.99,p9900,0.15342203776041666
1765262338.4728434,27,0.999,p9990,0.4613698323567708
1765262338.4728434,27,0.9999,p9999,1.318634033203125
1765262338.4728434,27,,max,14.567708333333334
1765262338.4728434,28,0.9,p9000,0.026392618815104168
1765262338.4728434,28,0.95,p9500,0.052342732747395836
1765262338.4728434,28,0.99,p9900,0.1998112996419271
1765262338.4728434,28,0.999,p9990,0.5761566162109375
1765262338.4728434,28,0.9999,p9999,1.0984395345052083
1765262338.4728434,28,,max,13.84375
1765262338.4728434,29,0.9,p9000,0.032763163248697914
1765262338.4728434,29,0.95,p9500,0.06716156005859375
1765262338.4728434,29,0.99,p9900,0.3062845865885417
1765262338.4728434,29,0.999,p9990,0.7257181803385416
1765262338.4728434,29,0.9999,p9999,1.8787841796875
1765262338.4728434,29,,max,38.125
1765262338.4728434,30,0.9,p9000,0.061126708984375
1765262338.4728434,30,0.95,p9500,0.130157470703125
1765262338.4728434,30,0.99,p9900,0.5313720703125
1765262338.4728434,30,0.999,p9990,1.4705912272135417
1765262338.4728434,30,0.9999,p9999,26.70947265625
1765262338.4728434,30,,max,3075.1666666666665
1765262338.4728434,31,0.9,p9000,0.4328206380208333
1765262338.4728434,31,0.95,p9500,0.7573649088541666
1765262338.4728434,31,0.99,p9900,2.6107177734375
1765262338.4728434,31,0.999,p9990,9.6219482421875
1765262338.4728434,31,0.9999,p9999,21.51025390625
1765262338.4728434,31,,max,72.3125
1765263227.8238258,0,0.9,p9000,0.0033063888549804688
1765263227.8238258,0,0.95,p9500,0.0050894419352213545
1765263227.8238258,0,0.99,p9900,0.0166168212890625
1765263227.8238258,0,0.999,p9990,0.1404139200846354
1765263227.8238258,0,0.9999,p9999,1.2953694661458333
1765263227.8238258,0,,max,2.203125
1765263227.8238258,1,0.9,p9000,0.016292572021484375
1765263227.8238258,1,0.95,p9500,0.0255279541015625
